planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
Kepler-1925 b,Neptune-like,Kepler-1925,313,,9.28,Earth,46.71640015,Jupiter,0.268,5778.0,2021,4352
Kepler-148 b,Super Earth,Kepler-148,548,,3.89,Earth,1.729366,Earth,1.8,2581.0,2014,4353
GJ 832 b,Gas Giant,GJ 832,2252,M2/3 V,0.68,Jupiter,3853.0,Jupiter,1.25,16.0,2008,4354
WASP-71 b,Gas Giant,WASP-71,2566,F8,1.39,Jupiter,2.90367,Jupiter,1.18,1183.0,2012,4355
Kepler-785 b,Gas Giant,Kepler-785,2922,,,,1.97376093,Jupiter,1.162,2094.0,2016,4356
Kepler-823 b,Super Earth,Kepler-823,249,,3.09,Earth,4.16809082,Earth,1.57,4532.0,2016,4357
Kepler-953 c,Super Earth,Kepler-953,3926,,1.81,Earth,9.10967112,Earth,1.19,845.0,2016,4358
Kepler-1609 b,Neptune-like,Kepler-1609,1506,,5.56,Earth,114.34219,Earth,2.22,5957.0,2016,4359
Kepler-636 b,Neptune-like,Kepler-636,1120,,18.1,Earth,16.08066115,Jupiter,0.397,1012.0,2016,4360
Kepler-941 b,Neptune-like,Kepler-941,2007,,9.69,Earth,17.42395198,Jupiter,0.275,3550.0,2016,4361
K2-257 b,Terrestrial,K2-257,88,,0.498,Earth,1.60588,Earth,0.83,209.0,2018,4362
OGLE-2008-BLG-092L b,Gas Giant,OGLE-2008-BLG-092L,3934,,0.18,Jupiter,,Jupiter,0.78,26422.0,2014,4363
Kepler-187 b,Super Earth,Kepler-187,2745,,2.57,Earth,4.938864,Earth,1.41,3728.0,2014,4364
HD 219666 b,Neptune-like,HD 219666,2886,G5 V,16.6,Earth,6.04345,Jupiter,0.42,307.0,2018,4365
Kepler-762 b,Gas Giant,Kepler-762,2980,,,,3.7705521,Jupiter,1.131,6192.0,2016,4366
Kepler-234 b,Neptune-like,Kepler-234,2927,,13.2,Earth,2.711506,Jupiter,0.33,5653.0,2014,4367
L 168-9 b,Super Earth,L 168-9,3800,M0.5 V,4.6,Earth,1.40152604,Earth,1.39,82.0,2020,4368
Kepler-358 b,Neptune-like,Kepler-358,2620,,7.85,Earth,34.060467,Jupiter,0.243,3592.0,2014,4369
K2-316 c,Super Earth,K2-316,3313,,4.01,Earth,5.26,Earth,1.83,367.0,2020,4370
Kepler-1475 b,Neptune-like,Kepler-1475,820,,8.85,Earth,82.177374,Jupiter,0.261,5116.0,2016,4371
Kepler-554 b,Neptune-like,Kepler-554,2354,,17.0,Earth,1.90220856,Jupiter,0.383,2252.0,2016,4372
WASP-153 b,Gas Giant,WASP-153,3658,G0,0.39,Jupiter,3.332609,Jupiter,1.55,1990.0,2017,4373
Kepler-347 b,Super Earth,Kepler-347,1081,,4.54,Earth,12.79836,Earth,1.97,4237.0,2014,4374
Kepler-1617 b,Super Earth,Kepler-1617,1397,,1.87,Earth,27.4785572,Earth,1.2,2930.0,2016,4375
HD 17156 b,Gas Giant,HD 17156,3099,G5,3.51,Jupiter,21.21663,Jupiter,1.1,255.0,2007,4376
Kepler-1200 b,Super Earth,Kepler-1200,1394,,1.2,Earth,1.11854972,Earth,1.06,1920.0,2016,4377
Kepler-1067 b,Terrestrial,Kepler-1067,3653,,0.437,Earth,0.76212926,Earth,0.8,2178.0,2016,4378
K2-168 b,Super Earth,K2-168,3817,,4.12,Earth,15.8523,Earth,1.86,796.0,2018,4379
Kepler-10 b,Super Earth,Kepler-10,838,,4.60853,Earth,0.8374907,Earth,1.481,605.0,2011,4380
Kepler-1865 b,Super Earth,Kepler-1865,2008,,3.11,Earth,2.52400994,Earth,1.577,3008.0,2021,4381
DENIS-P J082303.1-491201 b,Gas Giant,DENIS-P J082303.1-491201,1955,L1.5,28.5,Jupiter,246.36,Jupiter,1.06,68.0,2013,4382
WASP-182 b,Gas Giant,WASP-182,844,G5,0.148,Jupiter,3.3769848,Jupiter,0.85,1069.0,2019,4383
HD 56957 b,Gas Giant,HD 56957,3045,,5.95712,Jupiter,5859.08992,Jupiter,1.14,201.0,2022,4384
K2-21 c,Super Earth,K2-21,1519,M0.0,6.76,Earth,15.50192,Jupiter,0.222,273.0,2015,4385
HD 190360 c,Neptune-like,HD 190360,3164,G6 IV,19.069,Earth,17.111,Jupiter,0.409,52.0,2005,4386
HIP 41378 e,Neptune-like,HIP 41378,3859,F6,26.0,Earth,131.0,Jupiter,0.492,347.0,2016,4387
HATS-18 b,Gas Giant,HATS-18,2393,G V,1.9795,Jupiter,0.83784,Jupiter,1.329,2037.0,2016,4388
HD 35759 b,Gas Giant,HD 35759,113,G0,3.76,Jupiter,82.467,Jupiter,1.16,232.0,2016,4389
HD 145457 b,Gas Giant,HD 145457,3656,K0,2.23,Jupiter,176.13,Jupiter,1.19,441.0,2010,4390
Kepler-918 b,Super Earth,Kepler-918,2021,,3.68,Earth,4.85386933,Earth,1.74,3344.0,2016,4391
ROXs 12 b,Gas Giant,ROXs 12,933,M0,16.0,Jupiter,,Jupiter,1.09,446.0,2013,4392
WASP-144 b,Gas Giant,WASP-144,3116,K2 V,0.44,Jupiter,2.2783152,Jupiter,0.85,1160.0,2018,4393
Kepler-1304 b,Neptune-like,Kepler-1304,2181,,5.86,Earth,16.1288853,Jupiter,0.204,7098.0,2016,4394
Kepler-1828 b,Neptune-like,Kepler-1828,1745,,5.13,Earth,10.2737999,Earth,2.116,2844.0,2021,4395
Kepler-598 c,Neptune-like,Kepler-598,2989,,9.4,Earth,86.4945,Jupiter,0.27,2222.0,2020,4396
HD 222582 b,Gas Giant,HD 222582,1399,G5 V,8.37,Jupiter,572.38,Jupiter,1.12,138.0,1999,4397
HIP 65 A b,Gas Giant,HIP 65 A,3502,K4 V,3.213,Jupiter,0.9809734,Jupiter,2.03,202.0,2020,4398
GJ 433 d,Neptune-like,GJ 433,500,M2V,5.223,Earth,36.059,Earth,2.14,30.0,2020,4399
K2-115 b,Gas Giant,K2-115,97,,0.84,Jupiter,20.2729914,Jupiter,1.076,1349.0,2017,4400
K2-229 c,Super Earth,K2-229,2837,G9,21.3,Earth,8.32727,Earth,2.03,335.0,2018,4401
Kepler-1850 b,Terrestrial,Kepler-1850,1101,,0.313,Earth,1.3858,Earth,0.729,816.0,2021,4402
K2-117 b,Super Earth,K2-117,1111,M1.0 V,4.78,Earth,1.2916,Earth,2.03,332.0,2017,4403
K2-194 b,Neptune-like,K2-194,2409,,12.9,Earth,39.721386,Jupiter,0.325,2053.0,2018,4404
DMPP-3 A b,Super Earth,DMPP-3 A,426,K0 V,2.58,Earth,6.6732,Earth,1.41,148.0,2019,4405
KMT-2021-BLG-2294L b,Neptune-like,KMT-2021-BLG-2294L,2700,,22.24799,Earth,,Jupiter,0.448,22182.0,2022,4406
HD 38283 b,Gas Giant,HD 38283,2215,F9.5 V,0.4,Jupiter,363.20001,Jupiter,1.25,124.0,2010,4407
KMT-2016-BLG-2364L b,Gas Giant,KMT-2016-BLG-2364L,248,,3.93,Jupiter,,Jupiter,1.16,21007.0,2020,4408
Kepler-296 b,Super Earth,Kepler-296,771,M2 V,3.22,Earth,10.864384,Earth,1.61,545.0,2014,4409
Kepler-58 d,Neptune-like,Kepler-58,1350,,8.96,Earth,40.101371,Jupiter,0.262,3162.0,2014,4410
Kepler-1754 b,Neptune-like,Kepler-1754,1799,,6.53,Earth,8.19594955,Jupiter,0.218,2345.0,2021,4411
Kepler-852 b,Neptune-like,Kepler-852,1226,,6.99,Earth,44.9309804,Jupiter,0.227,5281.0,2016,4412
Kepler-1552 b,Neptune-like,Kepler-1552,2450,,6.66,Earth,184.771853,Jupiter,0.22,2509.0,2016,4413
MXB 1658-298 b,Gas Giant,MXB 1658-298,3223,,23.7,Jupiter,760.0,Jupiter,1.07,,2017,4414
Kepler-179 b,Super Earth,Kepler-179,224,,3.33,Earth,2.735926,Earth,1.64,1976.0,2014,4415
Kepler-1674 b,Neptune-like,Kepler-1674,3132,,10.4,Earth,62.5611,Jupiter,0.286,3303.0,2020,4416
TOI-5542 b,Gas Giant,TOI-5542,2782,G3 V,1.32,Jupiter,75.12375,Jupiter,1.009,1138.0,2022,4417
OGLE-2017-BLG-1140L b,Gas Giant,OGLE-2017-BLG-1140L,983,,1.59,Jupiter,,Jupiter,1.21,,2018,4418
Kepler-102 f,Terrestrial,Kepler-102,906,,5.2,Earth,27.453592,Earth,0.88,352.0,2014,4419
Kepler-1174 b,Super Earth,Kepler-1174,1018,,3.15,Earth,6.89225223,Earth,1.59,4595.0,2016,4420
HD 180617 b,Neptune-like,HD 180617,3879,M2.5 V,12.214,Earth,105.911,Jupiter,0.315,19.0,2018,4421
Kepler-96 b,Neptune-like,Kepler-96,3431,,8.46,Earth,16.2385,Jupiter,0.238,401.0,2014,4422
HAT-P-43 b,Gas Giant,HAT-P-43,3491,F9,0.662,Jupiter,3.3326414,Jupiter,1.216,1725.0,2012,4423
Kepler-125 b,Neptune-like,Kepler-125,3435,M1 V,6.21,Earth,4.164389,Jupiter,0.211,598.0,2014,4424
MOA-2011-BLG-262L b,Neptune-like,MOA-2011-BLG-262L,416,,17.0,Earth,,Jupiter,0.383,23486.0,2014,4425
NGTS-16 b,Gas Giant,NGTS-16,2365,G7 V,0.667,Jupiter,4.84532,Jupiter,1.3,2930.0,2021,4426
TOI-500 d,Neptune-like,TOI-500,3328,K6 V,33.12,Earth,26.233,Jupiter,0.567,155.0,2022,4427
TOI-2202 c,Gas Giant,TOI-2202,3282,K8 V,0.369,Jupiter,24.6744,Jupiter,1.19,770.0,2021,4428
Kepler-1845 b,Neptune-like,Kepler-1845,2108,,6.52,Earth,11.60649967,Jupiter,0.218,2318.0,2021,4429
K2-174 b,Neptune-like,K2-174,270,,7.27,Earth,19.562307,Jupiter,0.232,326.0,2018,4430
Kepler-1106 b,Super Earth,Kepler-1106,3079,,3.36,Earth,1.25275217,Earth,1.65,3558.0,2016,4431
Kepler-1585 b,Super Earth,Kepler-1585,2666,,3.86,Earth,3.5827463,Earth,1.79,3081.0,2016,4432
OGLE-2016-BLG-0613L AB b,Gas Giant,OGLE-2016-BLG-0613L AB,2820,,4.18,Jupiter,,Jupiter,1.16,11123.0,2017,4433
K2-374 b,Super Earth,K2-374,1626,G3,3.16,Earth,4.521953,Earth,1.593,1172.0,2022,4434
GJ 876 c,Gas Giant,GJ 876,203,M4 V,0.7142,Jupiter,30.0881,Jupiter,1.25,15.0,2000,4435
Kepler-1268 b,Super Earth,Kepler-1268,2724,,4.78,Earth,40.9903986,Earth,2.03,6005.0,2016,4436
KMT-2018-BLG-1990L b,Gas Giant,KMT-2018-BLG-1990L,1485,M,0.348,Jupiter,,Jupiter,1.16,3154.0,2019,4437
EPIC 220674823 b,Super Earth,EPIC 220674823,2259,G5 V,7.72,Earth,0.571292,Earth,1.6,798.0,2016,4438
Kepler-392 b,Terrestrial,Kepler-392,987,,0.972,Earth,5.341853,Earth,1.0,2223.0,2014,4439
BD-06 1339 b,Neptune-like,BD-06 1339,3851,K7/M0 V,8.5,Earth,3.8728,Jupiter,0.254,66.0,2013,4440
HAT-P-17 b,Gas Giant,HAT-P-17,3189,,0.58,Jupiter,10.33852,Jupiter,1.05,301.0,2010,4441
Kepler-241 b,Neptune-like,Kepler-241,1249,,6.04,Earth,12.718092,Jupiter,0.208,1670.0,2014,4442
HATS-4 b,Gas Giant,HATS-4,2652,G,1.323,Jupiter,2.516729,Jupiter,1.02,1358.0,2014,4443
TOI-763 c,Neptune-like,TOI-763,55,G,9.32,Earth,12.2737,Jupiter,0.235,310.0,2020,4444
K2-397 b,Neptune-like,K2-397,2372,G7,6.42,Earth,3.572326,Jupiter,0.216,650.0,2022,4445
HD 31527 d,Neptune-like,HD 31527,363,G2 V,11.82,Earth,271.6737,Jupiter,0.309,125.0,2019,4446
OGLE-2015-BLG-1771L b,Gas Giant,OGLE-2015-BLG-1771L,808,,0.433,Jupiter,,Jupiter,1.28,23062.0,2020,4447
Kepler-1909 b,Super Earth,Kepler-1909,2846,,1.33,Earth,2.39160991,Earth,1.092,2491.0,2021,4448
K2-190 c,Super Earth,K2-190,727,,1.34,Earth,21.574023,Earth,1.093,524.0,2018,4449
Kepler-322 c,Super Earth,Kepler-322,1077,,3.43,Earth,4.337234,Earth,1.67,1306.0,2014,4450
Kepler-1120 b,Super Earth,Kepler-1120,2962,,2.48,Earth,2.94902905,Earth,1.38,2007.0,2016,4451
K2-384 c,Super Earth,K2-384,1071,M4 V,1.82,Earth,4.194766,Earth,1.191,270.0,2022,4452
Kepler-1083 b,Neptune-like,Kepler-1083,423,,11.2,Earth,33.4177993,Jupiter,0.3,2944.0,2016,4453
Kepler-137 c,Super Earth,Kepler-137,3113,,4.19,Earth,18.735753,Earth,1.88,988.0,2014,4454
HIP 19976 b,Neptune-like,HIP 19976,2797,,20.59095,Earth,50.65905,Jupiter,0.428,131.0,2022,4455
K2-232 b,Gas Giant,K2-232,3400,,0.398,Jupiter,11.168454,Jupiter,1.0,426.0,2018,4456
Kepler-399 b,Terrestrial,Kepler-399,2876,,0.84,Earth,14.425281,Earth,0.96,2416.0,2014,4457
HD 27442 b,Gas Giant,HD 27442,3460,K1/2III,1.56,Jupiter,428.1,Jupiter,1.21,60.0,2000,4458
Kepler-169 e,Neptune-like,Kepler-169,1750,,5.48,Earth,13.767102,Earth,2.2,1326.0,2014,4459
K2-214 b,Neptune-like,K2-214,3801,,6.48,Earth,8.596802,Jupiter,0.217,981.0,2018,4460
HD 86226 b,Gas Giant,HD 86226,1311,G1 V,0.45,Jupiter,1628.0,Jupiter,1.28,149.0,2009,4461
TOI-411 b,Super Earth,HD 22946,1341,F7/F8V,3.61,Earth,4.040295,Earth,1.72,205.0,2022,4462
Kepler-49 e,Super Earth,Kepler-49,2900,M1 V,3.05,Earth,18.596108,Earth,1.56,1015.0,2014,4463
Kepler-223 b,Neptune-like,Kepler-223,3650,,7.4,Earth,7.38449,Jupiter,0.267,6066.0,2014,4464
Kepler-405 c,Neptune-like,Kepler-405,3383,,19.6,Earth,29.726682,Jupiter,0.416,3474.0,2014,4465
HD 126525 b,Gas Giant,HD 126525,2736,G4 V,0.237,Jupiter,960.41,Jupiter,0.919,123.0,2018,4466
Kepler-316 c,Super Earth,Kepler-316,861,,1.65,Earth,6.827766,Earth,1.16,1256.0,2014,4467
Kepler-133 b,Super Earth,Kepler-133,2714,,3.75,Earth,8.129976,Earth,1.76,2132.0,2014,4468
Kepler-1869 b,Super Earth,Kepler-1869,3701,,1.46,Earth,8.16736031,Earth,1.12,369.0,2021,4469
K2-368 c,Super Earth,K2-368,1571,,2.42,Earth,9.660186,Earth,1.361,674.0,2022,4470
WASP-57 b,Gas Giant,WASP-57,691,G6,0.644,Jupiter,2.83891856,Jupiter,1.05,1299.0,2012,4471
Kepler-1204 b,Neptune-like,Kepler-1204,1141,,9.53,Earth,85.7350285,Jupiter,0.272,3834.0,2016,4472
Kepler-1138 b,Super Earth,Kepler-1138,3382,,3.53,Earth,3.17060005,Earth,1.7,2846.0,2016,4473
HD 108874 c,Gas Giant,HD 108874,3918,G5,0.99,Jupiter,1624.0,Jupiter,1.23,194.0,2005,4474
GJ 3473 b,Super Earth,GJ 3473,277,M4,1.86,Earth,1.1980035,Earth,1.264,89.0,2020,4475
Kepler-1365 c,Terrestrial,Kepler-1365,1089,,0.437,Earth,4.77468005,Earth,0.8,2740.0,2016,4476
Kepler-366 c,Super Earth,Kepler-366,2426,,3.86,Earth,12.51616,Earth,1.79,6055.0,2014,4477
HATS-11 b,Gas Giant,HATS-11,3557,G0,0.83,Jupiter,3.619188,Jupiter,1.609,3081.0,2016,4478
K2-187 b,Super Earth,K2-187,74,,1.87,Earth,0.77401,Earth,1.2,1079.0,2018,4479
HD 72659 c,Gas Giant,HD 72659,1885,G2 V,18.71468,Jupiter,18207.72098,Jupiter,1.08,169.0,2022,4480
HD 108341 b,Gas Giant,HD 108341,625,K2 V,3.5,Jupiter,1129.0,Jupiter,1.17,160.0,2014,4481
G 264-012 b,Super Earth,G 264-012,3815,M4.0 V,2.5,Earth,2.30538,Earth,1.39,52.0,2021,4482
Kepler-11 e,Neptune-like,Kepler-11,1508,,8.0,Earth,31.9996,Jupiter,0.374,2108.0,2010,4483
MOA-2010-BLG-117L b,Gas Giant,MOA-2010-BLG-117L,828,,0.54,Jupiter,,Jupiter,1.27,11417.0,2018,4484
TOI-1259 A b,Gas Giant,TOI-1259 A,349,,0.441,Jupiter,3.477978,Jupiter,1.022,385.0,2021,4485
HAT-P-13 b,Gas Giant,HAT-P-13,940,G4,0.851,Jupiter,2.91625,Jupiter,1.272,805.0,2009,4486
Kepler-246 c,Super Earth,Kepler-246,1933,,2.86,Earth,11.187161,Earth,1.5,2042.0,2014,4487
Kepler-256 d,Neptune-like,Kepler-256,3059,,6.71,Earth,5.839172,Jupiter,0.221,3348.0,2014,4488
HATS-23 b,Gas Giant,HATS-23,148,G V,1.47,Jupiter,2.1605156,Jupiter,1.86,2084.0,2017,4489
Kepler-1904 b,Super Earth,Kepler-1904,1405,,2.51,Earth,4.57702017,Earth,1.39,884.0,2021,4490
Kepler-1919 b,Neptune-like,Kepler-1919,1227,,7.38,Earth,37.88660049,Jupiter,0.234,3841.0,2021,4491
NGTS-18 b,Gas Giant,NGTS-18,2573,G5 V,0.409,Jupiter,3.05125,Jupiter,1.21,3576.0,2021,4492
Kepler-1683 b,Super Earth,Kepler-1683,1244,,4.17,Earth,15.0337,Earth,1.875,2392.0,2020,4493
USco1556 b,Gas Giant,USco1556 A,1222,M3.0 V,15.0,Jupiter,,Jupiter,1.09,459.0,2019,4494
Kepler-326 c,Super Earth,Kepler-326,812,,17.4,Earth,4.580358,Earth,1.4,1591.0,2014,4495
OGLE-2014-BLG-1722L b,Gas Giant,OGLE-2014-BLG-1722L,1927,,0.174,Jupiter,,Jupiter,0.766,20877.0,2018,4496
HD 95089 c,Gas Giant,HD 95089,2440,G8/K0 IV,3.45,Jupiter,1785.0,Jupiter,1.17,447.0,2018,4497
Kepler-90 i,Super Earth,KOI-351,420,,2.3,Earth,14.44912,Earth,1.32,2767.0,2017,4498
Kepler-344 b,Neptune-like,Kepler-344,1107,,7.32,Earth,21.963945,Jupiter,0.233,3272.0,2014,4499
Kepler-1915 b,Neptune-like,Kepler-1915,3601,,10.4,Earth,13.83539963,Jupiter,0.287,4941.0,2021,4500
HD 183579 b,Neptune-like,HD 183579,236,G2 V,19.7,Earth,17.471291,Jupiter,0.317,187.0,2021,4501
Kepler-60 d,Neptune-like,Kepler-60,693,,4.16,Earth,11.8981,Earth,1.99,3344.0,2012,4502
SWEEPS-4 b,Gas Giant,SWEEPS-4,427,,3.8,Jupiter,4.2,Jupiter,0.81,27727.0,2006,4503
K2-343 c,Super Earth,K2-343,205,,4.74,Earth,7.676972,Earth,2.02,542.0,2018,4504
HD 13189 b,Gas Giant,HD 13189,759,K2,10.95,Jupiter,471.60001,Jupiter,1.11,1624.0,2005,4505
Kepler-1514 b,Gas Giant,Kepler-1514,3120,,5.28,Jupiter,217.83184,Jupiter,1.108,1296.0,2016,4506
EPIC 201497682 b,Terrestrial,EPIC 201497682,3214,,0.26,Earth,2.13174,Earth,0.692,825.0,2019,4507
HD 113337 c,Gas Giant,HD 113337,3257,F6 V,19.72438,Jupiter,5429.93477,Jupiter,1.08,118.0,2022,4508
HAT-P-61 b,Gas Giant,HAT-P-61,3881,,1.057,Jupiter,1.90231289,Jupiter,0.899,1105.0,2021,4509
K2-390 b,Neptune-like,K2-390,3749,G4,19.6,Earth,3.312792,Jupiter,0.416,1488.0,2022,4510
HD 113337 b,Gas Giant,HD 113337,3257,F6 V,3.24706,Jupiter,317.58639,Jupiter,1.17,118.0,2013,4511
K2-85 b,Super Earth,K2-85,2744,,1.87,Earth,0.684559,Earth,1.2,317.0,2016,4512
PSR B1257+12 d,Super Earth,PSR B1257+12,3158,,3.9,Earth,98.2114,Earth,1.8,1957.0,1992,4513
Kepler-321 c,Neptune-like,Kepler-321,3595,,5.99,Earth,13.093921,Jupiter,0.207,1254.0,2014,4514
Kepler-198 d,Super Earth,Kepler-198,723,,2.96,Earth,1.31184443,Earth,1.53,1616.0,2016,4515
HD 168863 b,Gas Giant,HD 168863,1441,,6.75311,Jupiter,14773.93272,Jupiter,1.13,130.0,2022,4516
HIP 14810 d,Gas Giant,HIP 14810,1603,G5,0.59,Jupiter,981.8,Jupiter,1.26,165.0,2009,4517
Kepler-870 b,Neptune-like,Kepler-870,362,,8.15,Earth,21.3587621,Jupiter,0.248,4108.0,2016,4518
Kepler-1859 b,Super Earth,Kepler-1859,494,,3.13,Earth,2.72959995,Earth,1.583,4343.0,2021,4519
K2-170 b,Super Earth,K2-170,795,,2.6,Earth,7.576544,Earth,1.418,1282.0,2018,4520
K2-202 b,Neptune-like,K2-202,1191,,5.91,Earth,3.405164,Jupiter,0.205,980.0,2018,4521
Kepler-423 b,Gas Giant,Kepler-423,1876,G4 V,0.595,Jupiter,2.6843285,Jupiter,1.192,2475.0,2014,4522
GJ 328 b,Gas Giant,GJ 328,1373,M0.0,2.3,Jupiter,3771.0,Jupiter,1.19,67.0,2013,4523
HAT-P-27 b,Gas Giant,HAT-P-27,3666,G8,0.62,Jupiter,3.039577,Jupiter,1.02,650.0,2011,4524
TOI-564 b,Gas Giant,TOI-564,1369,,1.463,Jupiter,1.651144,Jupiter,1.02,651.0,2020,4525
HD 93083 b,Gas Giant,HD 93083,153,K3 V,0.37,Jupiter,143.58,Jupiter,1.2,93.0,2005,4526
KOI-1257 b,Gas Giant,KOI-1257,1377,G5 V,1.45,Jupiter,86.647661,Jupiter,0.94,2140.0,2014,4527
HD 75784 c,Gas Giant,HD 75784,3122,G5,5.64,Jupiter,7900.0,Jupiter,1.14,279.0,2018,4528
XO-6 b,Gas Giant,XO-6,351,F5,4.4,Jupiter,3.7650007,Jupiter,2.07,768.0,2016,4529
HD 95089 b,Gas Giant,HD 95089,2440,G8/K0 IV,1.26,Jupiter,464.4,Jupiter,1.22,447.0,2009,4530
Kepler-1130 c,Terrestrial,Kepler-1130,82,,0.422,Earth,3.26663995,Earth,0.792,813.0,2021,4531
Kepler-1792 b,Neptune-like,Kepler-1792,338,,6.89,Earth,4.1957798,Jupiter,0.225,1961.0,2021,4532
Kepler-447 b,Gas Giant,Kepler-447,210,G8 V,1.37,Jupiter,7.79430132,Jupiter,1.65,874.0,2015,4533
HD 142245 b,Gas Giant,HD 142245,1874,K0,3.07,Jupiter,1299.0,Jupiter,1.17,317.0,2011,4534
Kepler-1283 b,Super Earth,Kepler-1283,1491,,4.31,Earth,12.9460978,Earth,1.91,9532.0,2016,4535
HD 147018 c,Gas Giant,HD 147018,1964,G9 V,6.56,Jupiter,1008.0,Jupiter,1.13,132.0,2009,4536
Kepler-419 c,Gas Giant,Kepler-419,3607,,7.3,Jupiter,675.47,Jupiter,1.13,3299.0,2014,4537
Kepler-298 c,Super Earth,Kepler-298,150,,4.38,Earth,22.92881,Earth,1.93,1690.0,2014,4538
HD 180314 b,Gas Giant,HD 180314,3901,K0,20.13,Jupiter,394.73,Jupiter,1.08,399.0,2010,4539
HD 25015 b,Gas Giant,HD 25015,3329,K2 V,9.01848,Jupiter,6134.427,Jupiter,1.12,122.0,2019,4540
Kepler-267 b,Super Earth,Kepler-267,3891,M1 V,37.9,Earth,3.353728,Earth,1.98,864.0,2014,4541
Kepler-30 d,Neptune-like,Kepler-30,346,,23.1,Earth,143.34394,Jupiter,0.785,2982.0,2012,4542
Kepler-51 c,Neptune-like,Kepler-51,1299,,4.0,Earth,85.312,Jupiter,0.803,2557.0,2012,4543
XO-7 b,Gas Giant,XO-7,2324,,0.709,Jupiter,2.8641424,Jupiter,1.373,764.0,2019,4544
Kepler-1317 b,Super Earth,Kepler-1317,1545,,3.05,Earth,0.56887443,Earth,1.56,2376.0,2016,4545
Kepler-1642 c,Neptune-like,Kepler-1642,562,,7.56,Earth,6.6513802,Jupiter,0.237,1350.0,2016,4546
HD 114783 c,Gas Giant,HD 114783,2813,K1 V,0.611,Jupiter,4352.0,Jupiter,1.26,69.0,2018,4547
Kepler-1902 b,Super Earth,Kepler-1902,950,,1.74,Earth,3.82222009,Earth,1.176,1123.0,2021,4548
Kepler-1723 b,Neptune-like,Kepler-1723,1002,,8.65,Earth,39.75289917,Jupiter,0.257,2646.0,2021,4549
Kepler-640 b,Neptune-like,Kepler-640,438,,7.08,Earth,22.24813967,Jupiter,0.228,1820.0,2016,4550
Kepler-379 c,Neptune-like,Kepler-379,1418,,5.86,Earth,62.784697,Jupiter,0.204,2385.0,2014,4551
KMT-2018-BLG-0748L b,Gas Giant,KMT-2018-BLG-0748L,3322,,0.19,Jupiter,,Jupiter,0.804,23813.0,2020,4552
Kepler-817 b,Gas Giant,Kepler-817,3553,,0.189,Jupiter,3.99010623,Jupiter,0.806,4842.0,2016,4553
KIC 8540376 b,Neptune-like,KOI-7892,2544,,15.8,Earth,31.8099,Jupiter,0.366,3498.0,2015,4554
Kepler-1806 b,Neptune-like,Kepler-1806,3465,,6.15,Earth,9.03332043,Jupiter,0.21,3190.0,2021,4555
Kepler-92 b,Gas Giant,Kepler-92,1642,,0.202,Jupiter,13.749,Jupiter,0.313,1559.0,2013,4556
Kepler-58 c,Gas Giant,Kepler-58,1350,,0.16676,Jupiter,15.5741568,Jupiter,0.255,3162.0,2012,4557
GJ 876 d,Neptune-like,GJ 876,2519,M4 V,6.83,Earth,1.93778,Jupiter,0.224,15.0,2005,4558
Kepler-1429 b,Super Earth,Kepler-1429,2190,,2.21,Earth,4.48487493,Earth,1.29,3960.0,2016,4559
GJ 367 b,Terrestrial,GJ 367,3485,M1.0 V,0.546,Earth,0.3219225,Earth,0.718,31.0,2021,4560
Kepler-278 c,Neptune-like,Kepler-278,1043,,12.6,Earth,51.078775,Jupiter,0.32,1445.0,2014,4561
HD 114783 b,Gas Giant,HD 114783,2813,K0,1.1,Jupiter,493.7,Jupiter,1.23,69.0,2001,4562
Kepler-191 c,Super Earth,Kepler-191,1438,,4.12,Earth,17.738506,Earth,1.86,1939.0,2014,4563
SWEEPS-11 b,Gas Giant,SWEEPS-11,1264,,9.7,Jupiter,1.796,Jupiter,1.13,27727.0,2006,4564
MOA-2007-BLG-192L b,Super Earth,MOA-2007-BLG-192L,2911,,3.3,Earth,,Earth,1.63,3262.0,2008,4565
LP 890-9 c,Super Earth,LP 890-9,768,M6 V,25.3,Earth,8.457463,Earth,1.367,106.0,2022,4566
Kepler-337 b,Super Earth,Kepler-337,662,,2.99,Earth,3.292781,Earth,1.54,2212.0,2014,4567
Kepler-93 b,Super Earth,Kepler-93,2236,,4.54426,Earth,4.72673978,Earth,1.569,313.0,2014,4568
Kepler-169 d,Super Earth,Kepler-169,1750,,2.1,Earth,8.348125,Earth,1.25,1326.0,2014,4569
Kepler-564 b,Neptune-like,Kepler-564,919,,19.4,Earth,3.75083228,Jupiter,0.413,2815.0,2016,4570
K2-33 b,Neptune-like,K2-33,190,M3.3,3.7,Jupiter,5.424865,Jupiter,0.45,454.0,2016,4571
Kepler-157 d,Super Earth,Kepler-157,2687,,2.73,Earth,7.02573474,Earth,1.46,2524.0,2016,4572
Kepler-693 b,Gas Giant,Kepler-693,3702,,0.232,Jupiter,15.37563332,Jupiter,0.908,3756.0,2016,4573
HD 187123 b,Gas Giant,HD 187123,1370,G3 V,0.523,Jupiter,3.0965828,Jupiter,1.27,150.0,1998,4574
K2-319 b,Neptune-like,K2-319,2567,,8.2,Earth,26.68,Jupiter,0.249,682.0,2020,4575
Kepler-1664 b,Neptune-like,Kepler-1664,2603,,9.45,Earth,14.3868,Jupiter,0.271,2044.0,2020,4576
